全局序号,唯一充电站ID,充电站名称,行政区,具体地址,经度,纬度,充电桩类型,联系电话,爬取关键词,爬取时间,站平均评分,站有效评论数,充电速度（0-5分）,价格性价比（0-5分）,设施完整性（0-5分）,环境卫生（0-5分）,位置便利性（0-5分）,服务态度（0-5分）,支付便捷性（0-5分）,安全保障（0-5分）
44,站_040,理想超级充电站(理想5C超充站合肥瑶海区市政大院小区),瑶海区,胜利路街道淝光路市政大院小区对面停车场,117.29554,31.875477,汽车服务;充电站;充电站,4006860400,新能源汽车充电桩,2026/1/27 20:38,1,2,2.5,0.77,2.5,0.77,2.5,2.5,2.5,2.5
45,站_041,中充服汽车充电站(润升科技产业园慢充站),瑶海区,三十头街道唐河路安徽润升科技产业园,117.34693,31.938707,汽车服务;充电站;充电站,18355107967,新能源汽车充电桩,2026/1/27 20:38,5,1,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5
46,站_042,新电途汽车充电站(即刻加电华为液冷超充站),瑶海区,郎溪路与乐水路交口即刻超充站内,117.356345,31.854058,汽车服务;充电站;充电站,4001100835,新能源汽车充电桩,2026/1/27 20:38,3.5,4,4.742,3.176,2.5,2.5,2.5,2.5,2.5,2.5
47,站_043,皖小能汽车充电站(新区同福苑皖小能快充),瑶海区,合肥幼教集团同福苑幼儿园大众路1819号,117.40014,31.929737,汽车服务;充电站;充电站,4009961666,新能源汽车充电桩,2026/1/27 20:38,2.875,4,1,2.5,2.5,2.5,2.5,2.5,2.5,2.5
48,站_044,中国石化汽车充电站(广乐家园充电站),瑶海区,大兴镇广乐宴宾楼(广乐家园店),117.366493,31.852412,汽车服务;充电站;充电站,95105888,新能源汽车充电桩,2026/1/27 20:38,3.5,6,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5
49,站_045,广汽能源汽车充电站(广汽能源合肥广德路超充站),瑶海区,龙岗综合经济开发区广德路海洲·景秀世家3期地面停车场,117.363993,31.879978,汽车服务;充电站;充电站,4006665330,新能源汽车充电桩,2026/1/27 20:38,3.6666666666666665,9,3.152,3.161,2.5,2.5,2.5,2.5,2.5,2.5
50,站_046,昆仑网电汽车充电站(中国石油合肥新大充电站),瑶海区,裕溪路辅路与水东路交叉口西100米,117.39112,31.83491,汽车服务;充电站;充电站,95700,新能源汽车充电桩,2026/1/27 20:38,2.083333333333333,6,2.5,2.959,2.5,3.418,2.5,2.5,2.5,2.5
51,站_047,昆仑网电汽车充电站(中国石油安徽公司办公楼充电站),瑶海区,合裕路与采石路交口北侧约40米创和大厦原址,117.34274,31.847637,汽车服务;充电站;充电站,19955145596,新能源汽车充电桩,2026/1/27 20:38,4.625,8,5.636,3.651,2.5,4.032,2.5,2.5,2.5,2.5
52,站_048,小鹏超级充电站(小鹏S4超快充合肥翔孚徽商2号门站),瑶海区,明光路街道明光路与淝光路交口415号,117.29528,31.875326,汽车服务;充电站;充电站,4007836688,新能源汽车充电桩,2026/1/27 20:38,4,2,4.32,2.5,2.5,2.5,2.5,2.5,2.5,2.5
53,站_049,星星充电汽车充电站(中国海油加油站新安江路站),瑶海区,新安江路与广德路交口东南角,117.368347,31.859111,汽车服务;充电站;充电站,0551-63667618,新能源汽车充电桩,2026/1/27 20:38,2.6666666666666665,3,4.45,3.548,2.5,2.5,2.5,2.5,2.5,2.5
54,站_050,星星充电汽车充电站(顺孚享充电京商超充站),瑶海区,七里塘街道泗水路京商商贸城F区地面停车场,117.33639,31.924536,汽车服务;充电站;充电站,18055132896,新能源汽车充电桩,2026/1/27 20:38,4.333333333333333,3,3.582,0.895,2.5,3.082,2.5,2.5,2.5,2.5
55,站_051,特来电汽车充电站(正业大厦),瑶海区,长淮街道北二环路170号平之梦假日酒店地面停车场,117.305742,31.893491,汽车服务;充电站;充电站,,新能源汽车充电桩,2026/1/27 20:38,2.2777777777777777,9,2.5,2.274,2.967,0.432,3.413,2.5,2.5,2.5
56,站_052,壳牌充电汽车充电站(壳牌合肥瑶海静安医院地面快充站),瑶海区,静安中西医结合医院地面停车场,117.377044,31.854951,汽车服务;充电站;充电站,4007160699,新能源汽车充电桩,2026/1/27 20:38,2.6666666666666665,6,3.144,3.831,2.5,2.5,2.5,2.5,2.5,2.5
57,站_053,汽车充电站(国家电网安徽省合肥市瑶海区长江东路中石化合店加油站充电站),瑶海区,合肥龙岗综合经济开发区长江东路辅路中国石化合店加油站地面停车场,117.371131,31.868663,汽车服务;充电站;充电站,0551-63318110;96529,新能源汽车充电桩,2026/1/27 20:38,1.1875,8,2.5,2.537,2.5,2.5,2.5,2.5,2.5,2.5
58,站_054,极氪能源超级充电站(合肥水利仓储运输中心极充站),瑶海区,大兴镇郎溪路与乐水路交口乐水路99号水利仓储运输中心地面停车位,117.35673,31.854086,汽车服务;充电站;充电站,4000036036,新能源汽车充电桩,2026/1/27 20:38,5,1,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5
59,站_055,特来电汽车充电站(特来电特来电雷充方米科技园充电站),瑶海区,新海大道1号实验楼101方米科技园区内,117.358567,31.889002,汽车服务;充电站;充电站,4001300001,新能源汽车充电桩,2026/1/27 20:38,3.7857142857142856,7,2.192,2.591,2.646,1.542,2.5,2.5,2.5,2.5
60,站_056,汽车充电站(白猿充电长江东路站),瑶海区,长江东路辅路与王岗路交口西20米,117.388419,31.869282,汽车服务;充电站;充电站,4000610999,新能源汽车充电桩,2026/1/27 20:38,4.333333333333333,6,4.041,3.569,3.308,2.5,3.308,3.308,2.5,2.5
61,站_057,易佳电汽车充电站(易佳电安徽水利物资仓储中心充电站),瑶海区,郎溪路高架,117.356,31.8539,汽车服务;充电站;充电站,0551-62100112,新能源汽车充电桩,2026/1/27 20:38,1.875,4,1.586,2.5,2.5,2.5,2.5,2.5,2.5,2.5
62,站_058,易佳电汽车充电站(易佳电锐能一号充电站),瑶海区,"文忠路(浍水路南门驶出,可免费停车2小时)",117.3695,31.9104,汽车服务;充电站;充电站,0551-62100112,新能源汽车充电桩,2026/1/27 20:38,2.108695652173913,23,2.5,3.004,2.5,2.5,2.5,2.5,2.5,2.5
63,站_059,易佳电汽车充电站(易佳电顺孚享充电京商站),瑶海区,泗水路与大禹路交叉口京商商贸城F区南广场(顺孚石化加油站东边),117.336,31.9249,汽车服务;充电站;充电站,0551-62100112,新能源汽车充电桩,2026/1/27 20:38,1.6666666666666667,9,2.5,3.948,2.5,2.5,3.494,2.5,2.5,2.5
64,站_060,汽车充电站(新亚临泉路站),瑶海区,嘉山路街道新蚌埠路19号,117.300038,31.886191,汽车服务;充电站;充电站,,新能源汽车充电桩,2026/1/27 20:38,5,2,2.5,6.858,9.085,2.5,2.5,2.5,2.5,2.5
65,站_061,新站区学林公园充电站,瑶海区,梦溪路与岱河路交叉口西南60米地面停车场,117.386257,31.903809,汽车服务;充电站;充电站,,新能源汽车充电桩,2026/1/27 20:38,2.888888888888889,9,1.791,2.272,2.5,2.367,2.5,2.5,2.5,2.5
66,站_062,蔚来换电站(合肥瑶海区铜陵路),瑶海区,铜陵路254号,117.323064,31.860689,汽车服务;汽车服务相关;汽车服务相关,,新能源汽车充电桩,2026/1/27 20:38,2.5,1,8.865,2.5,2.5,2.5,8.865,2.5,2.5,2.5
67,站_063,易佳电汽车充电站(易佳电蓝鲤中绿广场充电站),瑶海区,长淮街道站前路中绿广场,117.3198,31.8812,汽车服务;充电站;充电站,0551-62100112,新能源汽车充电桩,2026/1/27 20:38,2.555555555555556,9,2.5,-0.251,2.5,2.5,2.861,2.5,2.5,2.5
68,站_064,易佳电汽车充电站(易佳电蓝鲤信地广场充电站),瑶海区,临泉路与全椒路交汇处东北角信地城市广场1-10号,117.3186,31.877,汽车服务;充电站;充电站,0551-62100112,新能源汽车充电桩,2026/1/27 20:38,1.9,5,3.151,2.5,2.5,2.5,2.5,2.5,2.5,2.5
69,站_065,易佳电汽车充电站(易佳电蓝鲤综保区充电站),瑶海区,东方大道与大禹路交口保税区地面停车场,117.3458,31.9536,汽车服务;充电站;充电站,0551-62100112,新能源汽车充电桩,2026/1/27 20:38,2.333333333333333,9,2.772,2.5,2.5,2.5,2.5,2.5,2.5,2.5
70,站_066,小桔充电汽车充电站(超翔花鸟鱼虫市场超充站),瑶海区,超翔汽车充电站(超翔快充站花鸟鱼虫市场),117.30602,31.853415,汽车服务;充电站;充电站,4000610999,新能源汽车充电桩,2026/1/27 20:38,2.642857142857143,7,3.55,3.209,2.5,2.5,2.5,4.43,2.5,2.5
71,站_5606,特来电汽车充电站(亮亮超充站),瑶海区,瑶海全民健身中心地下停车场A区003(由地面道闸右拐进入地下停车场后左侧进入),117.357356,31.854261,汽车服务;充电站;充电站,4001300001,新能源汽车充电桩,2026/1/27 20:38,4.5,13,3.489,3.414,3.216,4.039,4.5,4.245,4.187,3.282
72,站_067,小桔充电汽车充电站(帕沃充电合肥市宝业广场小桔充电站),瑶海区,宝业东城广场北停车场(东七里地铁站F口步行390米),117.336395,31.871326,汽车服务;充电站;充电站,4000610999,新能源汽车充电桩,2026/1/27 20:38,2.25,8,3.566,2.958,2.5,2.5,2.5,2.5,2.5,2.5
73,站_068,小桔充电汽车充电站(帕沃充电元一希尔顿小桔充电站),瑶海区,元一希尔顿酒店停车场地面停车场,117.309921,31.875836,汽车服务;充电站;充电站,4000610999,新能源汽车充电桩,2026/1/27 20:38,4.35,10,3.085,4.78,2.5,2.5,3.307,2.5,2.5,2.5
74,站_069,合肥充电瑶海区木材厂停车场汽车充电站,瑶海区,铜陵路与长江东大街交口向南100米地面停车场,117.322829,31.860516,汽车服务;充电站;充电站,,新能源汽车充电桩,2026/1/27 20:38,2.4166666666666665,6,2.114,3.067,3.232,2.5,2.5,2.5,2.5,2.5
75,站_070,易佳电汽车充电站(易佳电蓝鲤能源正业大厦充电站),瑶海区,砀山路168号正业大厦停车场,117.306138,31.893619,汽车服务;充电站;充电站,0551-62100112,新能源汽车充电桩,2026/1/27 20:38,1.6333333333333333,15,2.822,2.606,2.5,2.5,2.5,2.5,2.5,2.5
76,站_071,易佳电汽车充电站(易佳电蓝鲤第六空间充电站),瑶海区,城东街道第六空间(裕溪路店),117.341,31.8464,汽车服务;充电站;充电站,0551-62100112,新能源汽车充电桩,2026/1/27 20:38,2.071428571428572,7,2.625,2.625,2.5,2.5,2.5,2.5,2.5,2.5
77,站_2499,蔚来换电站(合肥新站区安徽巡鹰集团),瑶海区,新蚌埠路3768号,117.352541,31.97588,汽车服务;换电站;换电站,,新能源汽车充电桩,2026/1/27 20:38,3.9,13,3.794,4.156,3.514,3.442,2.733,3.7,3.044,3.922
78,站_5488,蔚来换电站(合肥瑶海区政务服务中心),瑶海区,乐水路99号,117.356657,31.853939,汽车服务;换电站;换电站,,新能源汽车充电桩,2026/1/27 20:38,4.2,22,3.48,3.69,3.532,3.259,2.29,3.817,3.214,4.478
79,站_4625,张洼停保场充电站,瑶海区,淮南路辅路与奎河路交叉口东北320米,117.301136,31.938261,汽车服务;充电站;充电站,,新能源汽车充电桩,2026/1/27 20:38,3.3,20,3.904,4.41,3.752,3.242,3.579,3.759,3.038,3.264
80,站_072,小桔充电汽车充电站(帕沃充电合肥市古井假日酒店小桔充电站),瑶海区,古井假日酒店地下停车场(大东门地铁站C口旁),117.302505,31.86475,汽车服务;充电站;充电站,4000610999,新能源汽车充电桩,2026/1/27 20:38,2.75,2,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5
81,站_073,安徽星闪充电站,瑶海区,包公大道与郎溪路交叉口西南角,117.357637,31.884441,汽车服务;汽车服务相关;汽车服务相关,,新能源汽车充电桩,2026/1/27 20:38,5,1,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5
82,站_4739,小桔充电汽车充电站(瑶海新能源超充站),瑶海区,新能源汽车城(十里村地铁站D口旁),117.34693,31.905407,汽车服务;充电站;充电站,18256508252,新能源汽车充电桩,2026/1/27 20:38,4.3,26,2.896,4.223,3.091,3.522,3.616,3.912,3.165,3.394
83,站_074,小桔充电汽车充电站(安驿信地城市广场临泉路滴滴充电站),瑶海区,小桔充电汽车充电站(小桔安驿信地城市广场临泉路充电站),117.31814,31.876986,汽车服务;充电站;充电站,19810659655,新能源汽车充电桩,2026/1/27 20:38,5,4,2.801,4.718,2.5,2.5,2.801,2.5,2.5,2.5
84,站_075,易佳电汽车充电站(易佳电郁金香充电站),瑶海区,瑶海工业园郁金香新能源科技有限公司地面停车场,117.3441,31.8956,汽车服务;充电站;充电站,0551-62100112,新能源汽车充电桩,2026/1/27 20:38,1.3125,8,2.5,1.276,2.5,2.5,2.5,2.5,2.5,2.5
85,站_076,新亚汽车站充电,瑶海区,站西路与北一环路辅路交叉口东北100米,117.304948,31.880995,汽车销售;汽车销售;汽车销售,,新能源汽车充电桩,2026/1/27 20:38,4.625,4,3.336,2.5,2.5,3.431,2.5,2.5,2.5,2.5
86,站_077,合肥充电新站区陶冲湖公园充电站,瑶海区,新站高新区陶冲湖公园内部,117.334013,31.936591,汽车服务;汽车服务相关;汽车服务相关,,新能源汽车充电桩,2026/1/27 20:38,2.25,4,1.449,3.196,2.5,2.5,2.5,2.5,2.5,2.5
87,站_078,易佳电汽车充电站(易佳电蓝鲤星辰充电站),瑶海区,站前路660号紫颐大厦停车场,117.3107,31.8872,汽车服务;充电站;充电站,0551-62100112,新能源汽车充电桩,2026/1/27 20:38,2,3,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5
88,站_079,合肥充电新站区黉街停车场充电站,瑶海区,梦溪路和学府路交口黉街111号地下车库F区,117.388817,31.932683,汽车服务;充电站;充电站,4000610999,新能源汽车充电桩,2026/1/27 20:38,2.95,20,3.538,2.583,2.5,2.5,2.763,2.5,2.5,2.5
89,站_080,易佳电汽车充电站(易佳电蓝鲤白猿充电站),瑶海区,长江东路与王岗路交口西北120米,117.3885,31.8692,汽车服务;充电站;充电站,0551-62100112,新能源汽车充电桩,2026/1/27 20:38,2.0625,8,2.5,2.242,2.5,2.5,2.5,2.5,2.5,2.5
90,站_081,小桔充电汽车充电站(青益新能源文忠路小桔超充站),瑶海区,磨店街道文忠路24号文忠苑,117.372988,31.924536,汽车服务;充电站;充电站,0551-67670802;13655556546,新能源汽车充电桩,2026/1/27 20:38,2.909090909090909,11,3.329,2.5,2.5,3.329,3.941,2.5,2.5,2.5
91,站_082,小桔充电汽车充电站(帕沃充电合肥市瑶海区家天下小桔充电站),瑶海区,家天下生活广场地下停车场B3层B-2054,117.326847,31.894521,汽车服务;充电站;充电站,4000610999,新能源汽车充电桩,2026/1/27 20:38,3.6666666666666665,6,3.477,2.792,2.5,2.5,2.5,2.5,2.5,2.5
